id,n_atoms,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds,qcfractal id,job status,mb_interaction_energy,mb_wall_time,mb_wall_time_log10_s,mb_wall_time_hours,psi4 output,submitted_unix_time,mb_ie_kcalmol,reference_ie,IE_error_kcalmol,PREDICTED IE Error,ACTUAL IE Error,PREDICTED_minus_ACTUAL_IE_Error
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],B2PLYP-D3/aug-cc-pVTZ/CP,-0.4743154048919678,4.181565206632516,15190.259972767466,324,complete,-0.027353192695045436,29773.160000000003,4.473824931312206,8.270322222222223,,1781290684.678278,-17.164374594875266,-16.34,-0.82,0.4743154048919678,-0.8243745948752661,1.2986899997672339
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],HF/aug-cc-pVTZ/CP,-19.546682357788086,3.634377147505905,4309.00648310859,[152],complete,0.011602391997257655,5470.43,3.7380214651428405,1.519563888888889,,1781290684.678278,7.280605399807154,-11.06,18.34,19.546682357788086,18.340605399807153,1.2060769579809332
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],PBE-D3/aug-cc-pVTZ/CP,4.288045883178711,3.819828721496066,6604.32932900306,[158],complete,-0.023350853495230695,8466.44,3.9277008349632334,2.351788888888889,,1781290684.678278,-14.652870725938719,-11.06,-3.59,-4.288045883178711,-3.5928707259387185,-0.6951751572399925
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],wB97X-D/aug-cc-pVTZ/CP,3.075005292892456,4.253166050611231,17912.906153155316,[164],complete,-0.022113176295533776,27577.17,4.440549696341461,7.660324999999999,,1781290684.678278,-13.876217144034104,-11.06,-2.82,-3.075005292892456,-2.8162171440341037,-0.25878814885835233
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],wB97X-V/aug-cc-pVTZ/CP,-0.13332778215408325,4.469759886446757,29495.780075136227,318,complete,-0.019354907135038957,37886.78,4.578487696125975,10.524105555555556,,1781290684.678278,-12.14537842140116,-11.06,-1.09,0.13332778215408325,-1.0853784214011597,1.218706203555243
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],MP2/aug-cc-pVTZ/CP,0.08347076177597046,3.968562569505336,9301.705162649192,[176],complete,-0.018485471019175748,12208.13,4.08664914528168,3.391147222222222,,1781290684.678278,-11.599799433771954,-11.06,-0.54,-0.08347076177597046,-0.5397994337719538,0.45632867199598337
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],B3LYP-D3/aug-cc-pVTZ/CP,2.1676101684570312,4.081545363179349,12065.501088877176,[182],complete,-0.022383000017271115,12537.9,4.098224801663302,3.48275,,1781290684.678278,-14.045533957837781,-11.06,-2.99,-2.1676101684570312,-2.985533957837781,0.8179237893807496
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],B2PLYP-D3/aug-cc-pVTZ/CP,-0.669908344745636,4.016925760827342,10397.424149762806,327,complete,-0.017851136849230897,17084.02,4.232590071176968,4.745561111111111,,1781290684.678278,-11.201749033124031,-11.06,-0.14,0.669908344745636,-0.14174903312403053,0.8116573778696665
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],HF/aug-cc-pVTZ/CP,-37.60334396362305,3.570273538119796,3717.693123384419,[153],complete,0.025642550060865688,12457.079999999998,4.095416253518607,3.4602999999999993,,1781290684.678278,16.090930946143768,-20.2,36.29,37.60334396362305,36.29093094614377,1.3124130174792796
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],PBE-D3/aug-cc-pVTZ/CP,-1.7413346767425537,3.7192166093893126,5238.616534885777,[159],complete,-0.027714089350411086,12376.76,4.092606969540066,3.437988888888889,,1781290684.678278,-17.39084049418711,-20.2,2.81,1.7413346767425537,2.8091595058128895,-1.0678248290703358
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],wB97X-D/aug-cc-pVTZ/CP,1.6946005821228027,4.164766068081893,14613.897875118118,[165],complete,-0.03708125319167266,37219.07,4.5707655171312815,10.338630555555556,,1781290684.678278,-23.26882010905332,-20.2,-3.07,-1.6946005821228027,-3.06882010905332,1.374219526930517
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],wB97X-V/aug-cc-pVTZ/CP,-0.35397079586982727,4.349165747561905,22344.248235875206,[171],complete,-0.034399064354374786,40339.65,4.605732125812094,11.205458333333334,,1781290684.678278,-21.585722473949367,-20.2,-1.39,0.35397079586982727,-1.385722473949368,1.7396932698191954
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],MP2/aug-cc-pVTZ/CP,7.738656520843506,3.900414619908713,7950.869401098008,319,complete,-0.054573185356957765,20909.96,4.320353202028772,5.808322222222222,,1781290684.678278,-34.24516497015921,-20.2,-14.05,-7.738656520843506,-14.04516497015921,6.306508449315704
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],B3LYP-D3/aug-cc-pVTZ/CP,-0.7505757808685303,3.929122217043419,8494.19480908881,322,complete,-0.031512405087823936,16904.67,4.228006697220812,4.695741666666666,,1781290684.678278,-19.77431780425531,-20.2,0.43,0.7505757808685303,0.42568219574468813,0.32489358512384214
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],B2PLYP-D3/aug-cc-pVTZ/CP,-1.166050672531128,3.9404831681497594,8719.33107323532,328,complete,-0.03371873159539973,19492.47,4.289866874489764,5.414575,,1781290684.678278,-21.15880754469769,-20.2,-0.96,1.166050672531128,-0.9588075446976916,2.1248582172288195
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],HF/aug-cc-pVTZ/CP,-40.96599197387695,3.646815933992002,4434.206701611205,[154],complete,0.011374698991858168,14935.05,4.174206680886431,4.148625,,1781290684.678278,7.137725989681927,-30.79,37.93,40.96599197387695,37.927725989681925,3.0382659841950286
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],PBE-D3/aug-cc-pVTZ/CP,-3.923574447631836,3.747074619811261,5585.661584724024,317,complete,-0.04440417017121945,13778.61,4.139205407718326,3.8273916666666667,,1781290684.678278,-27.864016419971744,-30.79,2.93,3.923574447631836,2.925983580028255,0.9975908676035807
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],wB97X-D/aug-cc-pVTZ/CP,0.04403256997466087,4.217597590716159,16504.318297225283,[166],complete,-0.050033670116590656,37149.27,4.569950284096952,10.319241666666667,,1781290684.678278,-31.39657830119169,-30.79,-0.61,-0.04403256997466087,-0.6065783011916892,0.5625457312170283
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],wB97X-V/aug-cc-pVTZ/CP,-0.5515493750572205,4.384212097928142,24222.117019973957,[172],complete,-0.05108038401567683,44696.11,4.650269727180062,12.41558611111111,,1781290684.678278,-32.05340069329335,-30.79,-1.26,0.5515493750572205,-1.2634006932933488,1.8149500683505693
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],MP2/aug-cc-pVTZ/CP,8.637513160705566,3.990510975501902,9783.876803121015,320,complete,-0.06912840998893444,24673.88,4.392237448236947,6.853855555555556,,1781290684.678278,-43.37869942374626,-30.79,-12.59,-8.637513160705566,-12.588699423746263,3.9511862630406966
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],B3LYP-D3/aug-cc-pVTZ/CP,-0.2894687056541443,3.954888002842921,9013.386677266906,323,complete,-0.0491829669767867,19563.97,4.291456988189091,5.434436111111111,,1781290684.678278,-30.862754424636446,-30.79,-0.07,0.2894687056541443,-0.07275442463644666,0.36222313029059094
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],B2PLYP-D3/aug-cc-pVTZ/CP,-1.425180196762085,4.02556043153852,10606.215122727217,329,complete,-0.05027547664303711,24864.04,4.395571695792205,6.906677777777778,,1781290684.678278,-31.548314072795574,-30.79,-0.76,1.425180196762085,-0.7583140727955744,2.1834942695576594
